"date","hour","height"
"01/01/06","07:19",0.2
"01/01/06","12:32",3.2
"01/01/06","19:24",0.5
"02/01/06","00:11",3.5
"02/01/06","08:02",0.2
"02/01/06","13:19",3.2
"02/01/06","20:09",0.5
"03/01/06","01:04",3.5
"03/01/06","08:53",0.2
"03/01/06","14:00",3.2
"03/01/06","20:56",0.4
"04/01/06","01:49",3.4
"04/01/06","09:34",0.3
"04/01/06","14:43",3.2
"04/01/06","21:43",0.5
"05/01/06","02:45",3.3
"05/01/06","10:11",0.4
"05/01/06","15:34",3.1
"05/01/06","22:30",0.5
"06/01/06","03:43",3.1
"06/01/06","10:56",0.5
"06/01/06","16:24",3
"06/01/06","23:19",0.6
"07/01/06","04:47",3
"07/01/06","11:41",0.7
"07/01/06","17:19",2.9
"08/01/06","00:21",0.7
"08/01/06","05:54",2.8
"08/01/06","12:34",0.8
"08/01/06","18:19",2.9
"09/01/06","01:41",0.8
"09/01/06","07:04",2.8
"09/01/06","13:38",0.9
"09/01/06","19:21",2.9
"10/01/06","03:02",0.7
"10/01/06","08:13",2.8
"10/01/06","15:02",0.9
"10/01/06","20:23",2.9
"11/01/06","04:06",0.6
"11/01/06","09:17",2.9
"11/01/06","16:08",0.9
"11/01/06","21:19",3
"12/01/06","05:00",0.5
"12/01/06","10:11",2.9
"12/01/06","16:58",0.9
"12/01/06","22:08",3.1
"13/01/06","05:51",0.4
"13/01/06","10:56",3
"13/01/06","17:43",0.8
"13/01/06","22:45",3.1
"14/01/06","06:32",0.4
"14/01/06","11:39",3
"14/01/06","18:17",0.8
"14/01/06","23:26",3.2
"15/01/06","07:02",0.4
"15/01/06","12:17",3
"15/01/06","18:49",0.8
"16/01/06","00:02",3.2
"16/01/06","07:38",0.5
"16/01/06","12:49",3
"16/01/06","19:19",0.7
"17/01/06","00:38",3.2
"17/01/06","07:58",0.5
"17/01/06","13:19",3
"17/01/06","19:49",0.7
"18/01/06","01:11",3.2
"18/01/06","08:23",0.6
"18/01/06","13:47",2.9
"18/01/06","20:23",0.7
"19/01/06","01:43",3.1
"19/01/06","08:49",0.6
"19/01/06","14:15",2.9
"19/01/06","20:56",0.7
"20/01/06","02:19",3
"20/01/06","09:17",0.7
